PositionX , PositionY , Line/corridor_following_distance_error , Number_of_slip_offs
906 , 208 , 0 , 90
906 , 208 , 0 , 90
908 , 208 , 0 , 90
910 , 208 , 0 , 90
912 , 210 , 0 , 90
923 , 215 , 0 , 90
925 , 215 , 0 , 90
928 , 218 , 0 , 90
932 , 218 , 0 , 90
934 , 220 , 0 , 90
934 , 220 , 0 , 90
938 , 220 , 0 , 90
941 , 220 , 0 , 90
941 , 220 , 0 , 90
943 , 222 , 0 , 90
943 , 222 , 0 , 90
945 , 222 , 0 , 90
945 , 222 , 0 , 90
945 , 222 , 0 , 90
958 , 225 , 0 , 90
963 , 225 , 0 , 90
965 , 227 , 0 , 90
969 , 227 , 0 , 90
973 , 228 , 0 , 90
980 , 230 , 0 , 90
982 , 230 , 0 , 90
984 , 230 , 0 , 90
984 , 230 , 0 , 90
989 , 230 , 0 , 90
993 , 232 , 0 , 90
997 , 233 , 0 , 90
1000 , 235 , 0 , 90
1000 , 235 , 0 , 90
1000 , 235 , 0 , 90
1000 , 235 , 0 , 90
1000 , 235 , 0 , 90
1000 , 235 , 0 , 90
1000 , 235 , 0 , 90
1000 , 235 , 0 , 90
1000 , 235 , 0 , 90
1000 , 235 , 0 , 90
1000 , 235 , 0 , 90
1000 , 235 , 0 , 90
1000 , 235 , 0 , 90
1000 , 235 , 0 , 90
1002 , 237 , 0 , 90
1002 , 237 , 0 , 90
1006 , 240 , 0 , 90
1008 , 240 , 0 , 90
1013 , 242 , 0 , 90
1017 , 245 , 0 , 90
1022 , 248 , 0 , 90
1022 , 248 , 0 , 90
